accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,time,urban_or_rural_area,weather_conditions,vehicle_type
BS0000503,,Monday,Give way or uncontrolled,Roundabout,Serious,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,20:01,Urban,Fine no high winds,Car
BS0000504,,Friday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Car
BS0000505,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Dual carriageway,30,18:40,Urban,Fine no high winds,Car
BS0000506,,Monday,Data missing or out of range,Not at junction or within 20 metres,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
BS0000507,,Tuesday,Give way or uncontrolled,Roundabout,Slight,Darkness - lights lit,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Roundabout,30,0:04,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000508,,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,19:27,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000509,,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,40,15:00,Urban,Fine no high winds,Motorcycle over 500cc
BS0000510,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,One way street,30,15:45,Urban,Fine no high winds,Car
BS0000511,,Thursday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Westminster,,1,2,Metropolitan Police,Dry,Dual carriageway,30,21:05,Urban,Other,Car
BS0000512,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,21:00,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
BS0000513,,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,3,4,Metropolitan Police,Dry,One way street,30,14:15,Urban,Fine no high winds,Car
BS0000514,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,11:50,Urban,Fine no high winds,Car
BS0000515,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,9:10,Urban,Fine no high winds,Car
BS0000516,,Wednesday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,20:30,Urban,Fine no high winds,Car
BS0000517,,Friday,Give way or uncontrolled,Private drive or entrance,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:25,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
BS0000518,,Sunday,Auto traffic signal,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:30,Urban,Fine no high winds,Car
BS0000519,,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Fine no high winds,Car
BS0000520,,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:45,Urban,Fine no high winds,Car
BS0000521,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,9,Metropolitan Police,Dry,Single carriageway,30,13:40,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000522,,Wednesday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:55,Urban,Fine no high winds,Car
BS0000523,,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,20:35,Urban,Fine no high winds,Car
BS0000524,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:43,Urban,Fine no high winds,Car
BS0000525,,Friday,Give way or uncontrolled,More than 4 arms (not roundabout),Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,13:40,Urban,Fine no high winds,Car
BS0000526,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,One way street,30,8:00,Urban,Fine no high winds,Car
BS0000527,,Sunday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,2,2,Metropolitan Police,Dry,Single carriageway,30,15:21,Urban,Fine + high winds,Car
BS0000528,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,3,Metropolitan Police,Dry,Single carriageway,30,20:00,Urban,Fine no high winds,Car
BS0000529,,Wednesday,Give way or uncontrolled,T or staggered junction,Serious,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,19:00,Urban,Fine no high winds,Car
BS0000530,,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,2,1,Metropolitan Police,Dry,Single carriageway,30,8:20,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000531,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,13:44,Urban,Fine no high winds,Car
BS0000532,,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,17:15,Urban,Fine no high winds,Car
BS0000533,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,14:55,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000534,,Sunday,Give way or uncontrolled,Roundabout,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,18:55,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000535,,Saturday,Give way or uncontrolled,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,One way street,30,15:50,Urban,Raining no high winds,Motorcycle over 500cc
BS0000536,,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,One way street,30,8:30,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000537,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,7:58,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000538,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,11:20,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000539,,Wednesday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:25,Urban,Fine no high winds,Car
BS0000540,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,20:53,Urban,Fine no high winds,Car
BS0000541,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,11:34,Urban,Fine no high winds,Motorcycle over 500cc
BS0000542,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,20:45,Urban,Fine no high winds,Car
BS0000543,,Wednesday,Auto traffic signal,Roundabout,Slight,Darkness - lights lit,Hammersmith and Fulham,,1,3,Metropolitan Police,Dry,Dual carriageway,50,17:25,Urban,Fine no high winds,Car
BS0000544,,Thursday,Give way or uncontrolled,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,22:10,Urban,Fine no high winds,Car
BS0000545,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,4:50,Urban,Fine no high winds,Car
BS0000546,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,0:05,Urban,Fine no high winds,Car
BS0000547,,Saturday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,19:40,Urban,Fine no high winds,Car
BS0000548,,Friday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Dual carriageway,30,12:20,Urban,Fine no high winds,Car
BS0000549,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,One way street,30,6:33,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000550,,Thursday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,17:49,Urban,Fine no high winds,Car
BS0000551,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,7:10,Urban,Fine no high winds,Car
BS0000552,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:47,Urban,Raining no high winds,Car
BS0000553,,Saturday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,One way street,30,15:20,Urban,Fine no high winds,Car
BS0000554,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,16:30,Urban,Fine no high winds,Car
BS0000555,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,18:24,Urban,Raining no high winds,Car
BS0000556,,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,One way street,30,13:02,Urban,Fine no high winds,Car
BS0000557,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,4,Metropolitan Police,Wet or damp,Single carriageway,30,23:49,Urban,Fine no high winds,Car
BS0000558,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,7:30,Urban,Fine no high winds,Car
BS0000559,,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,3,Metropolitan Police,Wet or damp,Single carriageway,30,8:30,Urban,Raining no high winds,Car
BS0000560,,Wednesday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Dual carriageway,30,23:00,Urban,Raining + high winds,Motorcycle over 500cc
BS0000561,,Thursday,Give way or uncontrolled,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,17:10,Urban,Raining no high winds,Car
BS0000562,,Wednesday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,9:54,Urban,Fine no high winds,Car
BS0000563,,Saturday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,40,3:00,Urban,Fine no high winds,Car
BS0000564,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,9:10,Urban,Fine no high winds,Car
BS0000565,,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,23:07,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000566,,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,18:50,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000567,,Thursday,Give way or uncontrolled,Private drive or entrance,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:55,Urban,Fine no high winds,Car
BS0000568,,Thursday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,9:30,Urban,Fine no high winds,Car
BS0000569,,Tuesday,Give way or uncontrolled,Roundabout,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Roundabout,30,8:55,Urban,Fine no high winds,Car
BS0000570,,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,12:20,Urban,Fine no high winds,Car
BS0000571,,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
BS0000572,,Monday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,2:50,Urban,Raining no high winds,Car
BS0000573,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,One way street,30,9:25,Urban,Fine no high winds,Car
BS0000574,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,18:10,Urban,Fine no high winds,Agricultural vehicle
BS0000575,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,23:35,Urban,Raining no high winds,Motorcycle over 500cc
BS0000576,,Tuesday,Give way or uncontrolled,Roundabout,Slight,Daylight,Hammersmith and Fulham,,1,2,Metropolitan Police,Dry,Roundabout,50,5:40,Urban,Fine no high winds,Car
BS0000577,,Thursday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,19:20,Urban,Fine no high winds,Car
BS0000578,,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,9:50,Urban,Fine no high winds,Car
BS0000579,,Wednesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:10,Urban,Fine no high winds,Car
BS0000580,,Thursday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,17:35,Urban,Raining no high winds,Car
BS0000581,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,20:00,Urban,Raining no high winds,Car
BS0000582,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,20:40,Urban,Raining no high winds,Car
BS0000583,,Monday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,16:45,Urban,Raining no high winds,Car
BS0000584,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:11,Urban,Fine no high winds,Car
BS0000585,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Dual carriageway,30,7:57,Urban,Fine no high winds,Car
BS0000586,,Tuesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,13:31,Urban,Fine no high winds,Car
BS0000587,,Friday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,11:00,Urban,Fine no high winds,Car
BS0000588,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,11:07,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000589,,Tuesday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Frost or ice,Single carriageway,30,7:33,Urban,Fine no high winds,Car
BS0000590,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,6:43,Urban,Raining no high winds,Car
BS0000591,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,8:50,Urban,Fine no high winds,Car
BS0000592,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:45,Urban,Fine no high winds,Car
BS0000593,,Wednesday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,13:11,Urban,Fine no high winds,Car
BS0000594,,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,12:18,Urban,Fine no high winds,Car
BS0000595,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,17:55,Urban,Raining no high winds,Car
BS0000596,,Monday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,8:40,Urban,Fine no high winds,Car
BS0000597,,Sunday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Dual carriageway,30,2:50,Urban,Fine no high winds,Car
BS0000598,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,18:10,Urban,Raining no high winds,Car
BS0000599,,Monday,Auto traffic signal,T or staggered junction,Serious,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Dual carriageway,30,18:52,Urban,Fine no high winds,Car
BS0000600,,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,12:46,Urban,Raining no high winds,Motorcycle 50cc and under
BS0000601,,Tuesday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,21:23,Urban,Raining no high winds,Car
BS0000602,,Saturday,Auto traffic signal,T or staggered junction,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,21:00,Urban,Fine no high winds,Car
BS0000603,,Monday,Data missing or out of range,Not at junction or within 20 metres,Fatal,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,13:40,Urban,Raining no high winds,Car
BS0000604,,Friday,Give way or uncontrolled,Slip road,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Dual carriageway,30,18:45,Urban,Fine no high winds,Car
BS0000605,,Sunday,Give way or uncontrolled,Roundabout,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Roundabout,30,16:30,Urban,Raining no high winds,Car
BS0000606,,Saturday,Auto traffic signal,Crossroads,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,22:20,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000607,,Friday,Auto traffic signal,Crossroads,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,21:35,Urban,Fine no high winds,Motorcycle 50cc and under
BS0000608,,Friday,Give way or uncontrolled,T or staggered junction,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,19:40,Urban,Raining no high winds,Car
BS0000609,,Wednesday,Give way or uncontrolled,T or staggered junction,Fatal,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Motorcycle over 500cc
BS0000610,,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,22:15,Urban,Fine no high winds,Car
BS0000611,,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Fine no high winds,Car
BS0000612,,Saturday,Give way or uncontrolled,Crossroads,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,22:25,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000613,,Tuesday,Give way or uncontrolled,Crossroads,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,21:22,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000614,,Thursday,Give way or uncontrolled,T or staggered junction,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,16:30,Urban,Fine no high winds,Car
BS0000615,,Monday,Give way or uncontrolled,T or staggered junction,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:20,Urban,Raining no high winds,Motorcycle over 500cc
BS0000616,,Thursday,Auto traffic signal,Crossroads,Fatal,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,13:00,Urban,Other,Car
BS0000617,,Wednesday,Give way or uncontrolled,Crossroads,Fatal,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,14:26,Urban,Snowing no high winds,Car
BS0000618,,Thursday,Auto traffic signal,More than 4 arms (not roundabout),Fatal,Darkness - lights lit,Kensington and Chelsea,,2,1,Metropolitan Police,Wet or damp,Single carriageway,30,18:26,Urban,Raining no high winds,Car
BS0000619,,Friday,Give way or uncontrolled,T or staggered junction,Fatal,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,20:10,Urban,Fine no high winds,Car
BS0000620,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,13:22,Urban,Fine no high winds,Car
BS0000621,,Saturday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,3,2,Metropolitan Police,Dry,Single carriageway,30,15:20,Urban,Fine no high winds,Car
BS0000622,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,13:50,Urban,Fine no high winds,Car
BS0000623,,Thursday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Snow,Single carriageway,30,21:30,Urban,Snowing no high winds,Car
BS0000624,,Friday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,16:40,Urban,Snowing no high winds,Motorcycle 125cc and under
BS0000625,,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,16:30,Urban,Fine no high winds,Car
BS0000626,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,8:56,Urban,Fine no high winds,Car
BS0000627,,Friday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,7:35,Urban,Fine no high winds,Car
BS0000628,,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,9:35,Urban,Fine no high winds,Car
BS0000629,,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,5:50,Urban,Fine no high winds,Car
BS0000630,,Sunday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,16:10,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000631,,Monday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,3:32,Urban,Fine no high winds,Car
BS0000632,,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,,1,1,Metropolitan Police,Dry,Single carriageway,30,14:15,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000633,,Sunday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,22:50,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000634,,Friday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Frost or ice,Dual carriageway,30,21:00,Urban,Fine + high winds,Car
BS0000635,,Thursday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0:05,Urban,Raining no high winds,Car
BS0000636,,Monday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,,1,2,Metropolitan Police,Dry,Single carriageway,30,15:05,Urban,Fine no high winds,Car
